ID	Category	Language	Genre	Genre2	Pubdate	Author_Last	Author_First	Work_Title	Translation	PubHouse	Prize	WinnerShortlist	Author_Gender	Author_Nationality
2010_Kingsolver,Barbara_TheLacuna_PW.txt	FIC	English	PW		2010	Kingsolver	Barbara	TheLacuna		HarperCollins	PEN/FaulknerAwardforFiction	Shortlist	F	US
2010_Krauss,Nicole_GreatHouse_PW.txt	FIC	English	PW		2010	Krauss	Nicole	GreatHouse		W.W.Norton&Co.	TheNationalBookAwards	Shortlist	F	US
2010_Laurie,Victoria_AGlimpseofEvil_MY.txt	FIC	English	MY		2010	Laurie	Victoria	AGlimpseofEvil					F	US
2010_Levy,Andrea_TheLongSong_PW.txt	FIC	English	PW		2010	Levy	Andrea	TheLongSong		HeadlineReview	TheManBookerPrize	Shortlist	F	UK
2010_McGuire,DanielleL_AttheDarkEnd_HIST.txt	NON	English	HIST		2010	McGuire	DanielleL	AttheDarkEnd					F	US
2010_McKinlay,Jenn_SprinklewithMurder_MY.txt	FIC	English	MY		2010	McKinlay	Jenn	SprinklewithMurder					F	US
2010_Moore,Lorrie_GateAt_PW.txt	FIC	English	PW		2010	Moore	Lorrie	GateAt		BondStreetBooks	PEN/FaulknerAwardforFiction	Shortlist	F	US
2010_Nunez,Sigrid_SalvationCity_SF.txt	FIC	English	SF		2010	Nunez	Sigrid	SalvationCity					F	US
2010_ParkerRhodes,Jewell_NinthWard_MG.txt	FIC	English	MID		2010	ParkerRhodes	Jewell	NinthWard					F	
2010_Pennypacker,Sara+ClementineFriendoftheWeek_MG.txt	FIC	English	MID		2010	Pennypacker	Sara	ClementineFriendOfTheWeek					F	
2010_Pfeffer,SusanBeth_ThisWorldWeLiveIn_SF.txt	FIC	English	SF	YA	2010	Pfeffer	SusanBeth	ThisWorldWeLiveIn					F	US
2010_Picoult,Jodi_HouseRules_BS.txt	FIC	English	BS		2010	Jodi	Picoult	HouseRules					F	US
2010_Pineiro,Caridad_StrongerthanSin_ROM.txt	FIC	English	ROM		2010	Pineiro	Caridad	StrongerthanSin					F	US/Cuba
2010_Potter,Ellen_TheKneeboneBoy_MG.txt	FIC	English	MID		2010	Potter	Ellen	TheKneeboneBoy					F	
2010_Rhode,DeborahL_TheBeautyBias_NF.txt	NON	English	MIX		2010	Rhode	DeborahL	TheBeautyBias					F	
2010_Roberts,Nora_SavortheMoment_BS.txt	FIC	English	BS		2010	Nora	Roberts	SavortheMoment					F	US
2010_Shriver,Lionel_SoMuchforThat_PW.txt	FIC	English	PW		2010	Shriver	Lionel	SoMuchforThat		HarperCollins	TheNationalBookAwards	Shortlist	F	US
